dep;com;arrd;cant;admi;popu;ecarts_popu;surface;nom;xlamb2;ylamb2;xlambz;ylambz;xlamb93;ylamb93;longi_grd;lati_grd;longi_dms;lati_dms;zmin;zmax;wgs84
78;322;4;29;6;82;Entre 10.000 et 25.000 habitants;1014;JOUY-EN-JOSAS;5875;24189;5875;11186;6388;68523;-188;54187;21001;484605;77;179;48.76843532,2.16654436
78;385;1;2;6;2;Entre 0 et 1000 habitants;351;MENERVILLE;5462;24411;5462;11409;5976;68749;-816;54407;13606;485758;84;162;48.96581374,1.60218555
91;85;1;24;6;37;Entre 10.000 et 25.000 habitants;804;BOISSY-SOUS-SAINT-YON;5906;23953;5906;1950;6417;68287;-141;53951;21234;483322;69;156;48.55635319,2.20921768
91;630;1;24;6;15;Entre 10.000 et 25.000 habitants;1257;LE VAL-SAINT-GERMAIN;5799;23963;5799;1961;6309;68298;-303;53961;20350;483354;62;159;48.56509726,2.06427509
95;456;2;26;6;7;Entre 0 et 1000 habitants;379;NOISY-SUR-OISE;5995;24600;5995;11597;6511;68933;-8;54598;21947;490817;23;209;49.13791093,2.32965429
93;15;2;15;6;47;Entre 10.000 et 25.000 habitants;414;COUBRON;6177;24353;6177;11350;6690;68685;268;54350;23439;485455;61;126;48.91571072,2.57785596
77;431;4;24;6;57;Entre 10.000 et 25.000 habitants;2162;SAINT-PIERRE-LES-NEMOURS;6255;23630;6255;1628;6762;67961;381;53628;24047;481555;57;123;48.26553402,2.67991496
77;446;3;10;6;6;Entre 0 et 1000 habitants;660;SAVINS;6638;23905;6638;1903;7148;68233;959;53900;31159;483036;84;155;48.510128,3.19972459
77;51;3;1;5;24;Entre 10.000 et 25.000 habitants;215;BRAY-SUR-SEINE;6668;23799;6668;1797;7177;68127;1003;53794;31420;482453;54;82;48.41453642,3.23866637
77;71;4;4;6;9;Entre 0 et 1000 habitants;2392;CHAINTREAUX;6359;23557;6359;1555;6866;67888;537;53555;24910;481159;88;133;48.19940678,2.8193627
92;63;2;99;5;791;Entre 50.000 et 100.000 habitants;1470;RUEIL-MALMAISON;5891;24311;5891;11308;6405;68645;-165;54309;21118;485240;24;164;48.87811397,2.18798447
92;78;2;40;5;249;Entre 10.000 et 25.000 habitants;320;VILLENEUVE-LA-GARENNE;5994;24377;5994;11374;6508;68710;-10;54375;21940;485614;22;31;48.93752169,2.32831957
95;341;3;34;6;4;Entre 0 et 1000 habitants;653;LIVILLIERS;5823;24553;5823;11551;6339;68888;-269;54551;20541;490544;69;115;49.09543305,2.09431055
77;31;3;27;6;8;Entre 0 et 1000 habitants;1692;BERNAY-VILBERT;6443;24087;6443;11085;6954;68417;668;54084;25616;484033;77;114;48.675357,2.93778346
77;33;3;23;6;2;Entre 0 et 1000 habitants;266;BEZALLES;6668;24093;6667;11091;7179;68421;1007;54087;31434;484042;144;169;48.67881174,3.24324299
77;175;2;2;6;23;Entre 10.000 et 25.000 habitants;1912;EVRY-GREGY-SUR-YERRE;6220;24063;6220;11061;6731;68395;331;54061;23805;483919;50;97;48.65492967,2.63499086
77;532;3;25;6;1;Entre 0 et 1000 habitants;1075;VULAINES-LES-PROVINS;6652;23961;6652;1959;7162;68289;981;53956;31311;483337;100;154;48.56032715,3.21951548
78;163;1;8;6;3;Entre 0 et 1000 habitants;940;CIVRY-LA-FORET;5471;24301;5471;11298;5985;68639;-800;54296;13658;485200;80;157;48.86703603,1.61584699
78;472;2;19;6;3;Entre 0 et 1000 habitants;961;ORSONVILLE;5629;23867;5629;1865;6139;68204;-557;53864;15007;482840;140;159;48.47804313,1.8348628
95;436;3;3;6;14;Entre 10.000 et 25.000 habitants;245;MOURS;5951;24595;5952;11593;6467;68929;-74;54593;21612;490801;23;47;49.13339931,2.26940492
91;41;3;1;6;7;Entre 0 et 1000 habitants;914;AVRAINVILLE;5935;23960;5935;1957;6445;68294;-98;53958;21453;483344;81;154;48.56268177,2.24847793
91;223;1;8;4;222;Entre 10.000 et 25.000 habitants;4092;ETAMPES;5871;23818;5871;1816;6380;68153;-194;53817;20944;482606;66;156;48.43492937,2.16222887
91;463;2;18;6;10;Entre 10.000 et 25.000 habitants;537;ONCY-SUR-ECOLE;6101;23760;6101;1758;6610;68093;152;53759;22824;482259;62;132;48.38283673,2.4728304
91;471;3;21;5;162;Entre 10.000 et 25.000 habitants;797;ORSAY;5890;24111;5890;11109;6402;68445;-166;54109;21115;484153;51;160;48.69835417,2.18714236
92;23;1;90;5;526;Entre 50.000 et 100.000 habitants;877;CLAMART;5945;24225;5945;11223;6458;68559;-83;54223;21543;484803;64;175;48.80089048,2.26167619
93;63;1;25;5;258;Entre 25.000 et 50.000 habitants;344;ROMAINVILLE;6073;24317;6073;11315;6586;68650;111;54315;22610;485301;54;123;48.88355892,2.43598365
95;26;2;26;6;25;Entre 10.000 et 25.000 habitants;1407;ASNIERES-SUR-OISE;6014;24595;6014;11592;6530;68928;22;54593;22122;490800;22;208;49.13341712,2.35567202
95;527;2;13;6;26;Entre 10.000 et 25.000 habitants;1409;ROISSY-EN-FRANCE;6133;24451;6133;11449;6647;68784;202;54449;23105;490015;67;116;49.00388575,2.51816686
95;580;2;15;6;26;Entre 10.000 et 25.000 habitants;766;SAINT-WITZ;6169;24549;6169;11546;6685;68881;257;54546;23406;490530;109;195;49.09186344,2.56773118
77;19;3;1;6;3;Entre 0 et 1000 habitants;1322;BALLOY;6601;23780;6601;1778;7109;68109;901;53776;30851;482353;50;118;48.39811166,3.14792293
77;44;2;22;6;10;Entre 10.000 et 25.000 habitants;1500;BOMBON;6386;23971;6386;1969;6896;68302;581;53969;25133;483418;78;122;48.57145251,2.85937504
77;227;3;1;6;6;Entre 0 et 1000 habitants;1590;HERME;6746;23876;6745;1874;7255;68203;1120;53870;32041;482857;56;160;48.48290389,3.34533053
77;363;5;6;6;12;Entre 10.000 et 25.000 habitants;670;LE PIN;6215;24352;6214;11349;6728;68683;325;54349;23745;485452;49;135;48.91469623,2.62966597
77;323;1;9;6;10;Entre 10.000 et 25.000 habitants;719;MOUSSY-LE-VIEUX;6211;24499;6211;11496;6726;68831;321;54496;23730;490248;81;131;49.0468102,2.62494552
77;453;2;5;6;10;Entre 10.000 et 25.000 habitants;2247;SIVRY-COURTRY;6309;23922;6309;1920;6819;68254;465;53920;24517;483141;73;104;48.52781828,2.75472254
78;239;1;10;6;18;Entre 10.000 et 25.000 habitants;969;FOLLAINVILLE-DENNEMONT;5544;24471;5545;11469;6059;68809;-692;54468;14250;490114;16;149;49.02036718,1.71345263
78;517;2;18;4;261;Entre 25.000 et 50.000 habitants;3519;RAMBOUILLET;5627;24051;5627;11049;6138;68388;-563;54049;14948;483837;140;177;48.64343432,1.83055469
78;571;3;22;5;52;Entre 10.000 et 25.000 habitants;1174;SAINT-NOM-LA-BRETECHE;5769;24291;5769;11289;6282;68626;-350;54289;20116;485135;87;181;48.85981525,2.02186086
91;691;2;36;5;289;Entre 25.000 et 50.000 habitants;984;YERRES;6114;24131;6114;11129;6625;68463;171;54129;22927;484258;32;116;48.71632606,2.49135804
92;25;2;92;5;846;Entre 50.000 et 100.000 habitants;781;COLOMBES;5938;24361;5938;11359;6452;68695;-94;54360;21508;485525;23;44;48.9231125,2.25195154
95;134;3;3;6;46;Entre 10.000 et 25.000 habitants;945;CHAMPAGNE-SUR-OISE;5926;24598;5926;11595;6442;68932;-112;54595;21408;490809;23;176;49.13607062,2.23516663
95;212;2;13;6;1;Entre 0 et 1000 habitants;342;EPIAIS-LES-LOUVRES;6162;24482;6162;11479;6676;68814;245;54480;23327;490153;90;121;49.03167637,2.55789636
95;509;2;15;6;33;Entre 10.000 et 25.000 habitants;511;PUISEUX-EN-FRANCE;6120;24511;6120;11509;6635;68843;182;54509;23001;490328;90;143;49.05782791,2.50058064
77;7;2;22;6;4;Entre 0 et 1000 habitants;257;ARGENTIERES;6392;24062;6392;11060;6903;68393;590;54060;25204;483913;73;107;48.65321563,2.86833512
77;29;2;22;6;2;Entre 0 et 1000 habitants;394;BEAUVOIR;6389;24052;6389;11050;6900;68383;587;54050;25152;483841;85;114;48.64424509,2.86417419
77;128;1;8;6;21;Entre 10.000 et 25.000 habitants;475;COUILLY-PONT-AUX-DAMES;6383;24319;6382;11317;6896;68649;579;54316;25128;485304;45;119;48.88425767,2.85843719
77;153;1;9;5;80;Entre 10.000 et 25.000 habitants;897;DAMMARTIN-EN-GOELE;6252;24507;6252;11505;6767;68839;383;54505;24053;490315;84;180;49.05385091,2.6810408
77;442;4;13;6;23;Entre 10.000 et 25.000 habitants;565;SAMOREAU;6309;23808;6309;1806;6818;68139;464;53806;24515;482531;41;147;48.42533372,2.75390463
77;459;3;29;6;16;Entre 10.000 et 25.000 habitants;2333;SOURDUN;6749;23936;6749;1934;7259;68264;1126;53930;32101;483213;92;173;48.53680351,3.35043286
77;133;3;20;6;2;Entre 0 et 1000 habitants;1079;COURCELLES-EN-BASSEE;6532;23792;6532;1790;7041;68121;798;53789;30318;482435;47;136;48.4095028,3.05491938
