Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0941018W;Lycée polyvalent Edouard Branly;LYCEE POLYVALENT;EDOUARD BRANLY;Public;33 rue DU PETIT BOIS;;;94000;CRETEIL;Créteil;660915.6;6853923.2;EPSG:2154;48.784213720173305;2.468059377965045;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;94;11;24;94028;Val-de-Marne;Ile-de-France;Créteil;48.7842137202,2.46805937797;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-04-03
0910620E;Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie;LPO LYCEE DES METIERS;ROBERT DOISNEAU;Public;89 avenue Serge Dassault;;;91107;CORBEIL ESSONNES CEDEX;Corbeil-Essonnes;660081.9;6835028.6;EPSG:2154;48.61422023491838;2.458476580123971;Correcte;Rue;306;LYCEE POLYVALENT;1;OUVERT;91;11;25;91174;Essonne;Ile-de-France;Versailles;48.6142202349,2.45847658012;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0910752Y;Collège Le Chantemerle;COLLEGE;LE CHANTEMERLE;Public;9 boulevard GEORGES MICHEL;;;91100;CORBEIL ESSONNES;Corbeil-Essonnes;660802.0;6834091.3;EPSG:2154;48.60583332129587;2.4683306721746057;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;91;11;25;91174;Essonne;Ile-de-France;Versailles;48.6058333213,2.46833067217;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-05
0912233H;Collège Olympe de Gouges;COLLEGE;OLYMPE DE GOUGES;Public;36 rue DU VIVIER;;;91750;CHAMPCUEIL;Champcueil;659230.1;6824389.5;EPSG:2154;48.51846609507734;2.4479306151858298;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;91;11;25;91135;Essonne;Ile-de-France;Versailles;48.5184660951,2.44793061519;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2004-09-01
0750210W;E.P.PR LA TRINITE 16 rue de Milan;ECOLE PRIMAIRE PRIVEE;LA TRINITE;Privé;16 rue de Milan;;;75009;PARIS;Paris  9e  Arrondissement;650699.8;6864525.8;EPSG:2154;48.87886399698742;2.3277994438328315;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75109;Paris;Ile-de-France;Paris;48.878863997,2.32779944383;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750223K;E.P.PR SAINTE-MARGUERITE 16 rue Basfroi;ECOLE PRIMAIRE PRIVEE;SAINTE-MARGUERITE;Privé;16 rue Basfroi;;;75011;PARIS;Paris 11e  Arrondissement;654487.1;6861789.7;EPSG:2154;48.8545374690418;2.3797295209141227;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75111;Paris;Ile-de-France;Paris;48.854537469,2.37972952091;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750243G;E.P.PR SAINT-ESPRIT 56 rue des Meuniers;ECOLE PRIMAIRE PRIVEE;SAINT-ESPRIT;Privé;56 rue des Meuniers;;;75012;PARIS;Paris 12e  Arrondissement;655595.7;6859664.1;EPSG:2154;48.83549922841455;2.395059354415942;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75112;Paris;Ile-de-France;Paris;48.8354992284,2.39505935442;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750321S;E.P.PR BLANCHE DE CASTILLE 8 ter rue Roger Bacon;ECOLE PRIMAIRE PRIVEE;BLANCHE DE CASTILLE;Privé;8 ter rue Roger Bacon;;;75017;PARIS;Paris 17e  Arrondissement;647887.3;6864957.4;EPSG:2154;48.88252376988987;2.289400501233625;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75117;Paris;Ile-de-France;Paris;48.8825237699,2.28940050123;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-17
0750553U;Lycée professionel Gaston Bachelard;LYCEE PROFESSIONNEL;GASTON BACHELARD;Public;2 rue Tagore;;;75013;PARIS;Paris 13e  Arrondissement;653033.9;6858040.4;EPSG:2154;48.820715464470396;2.3603394244216216;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75113;Paris;Ile-de-France;Paris;48.8207154645,2.36033942442;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750658H;Lycée général Saint Louis;LYCEE GENERAL;SAINT-LOUIS;Public;44 boulevard Saint-Michel;;;75006;PARIS;Paris  6e  Arrondissement;651691.1;6861208.0;EPSG:2154;48.849102692602756;2.3416921685730263;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75106;Paris;Ile-de-France;Paris;48.8491026926,2.34169216857;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
